date,open,high,low,close,volume
2024-03-18,0.23000000,5.32000000,0.23000000,3.12000000,66158253.00000000
2024-03-19,3.11900000,3.48600000,2.81000000,3.02100000,36561527.70000000
2024-03-20,3.02100000,4.39000000,2.89600000,4.20700000,69007806.10000000
2024-03-21,4.20900000,4.43800000,3.70500000,3.81500000,37832869.90000000
2024-03-22,3.81600000,4.16000000,3.50800000,3.69000000,26583233.80000000
2024-03-23,3.69100000,4.38000000,3.60800000,4.22700000,28604105.80000000
2024-03-24,4.22700000,4.29800000,3.89700000,3.97900000,17887988.30000000
2024-03-25,3.98000000,4.70000000,3.95800000,4.45800000,35009216.40000000
2024-03-26,4.45900000,5.55500000,4.40900000,5.46800000,42428235.40000000
2024-03-27,5.46800000,8.66000000,5.31000000,7.92000000,113955921.50000000
2024-03-28,7.92100000,8.05400000,6.71700000,7.01100000,75789954.10000000
2024-03-29,7.01000000,7.31000000,6.54500000,6.67700000,33448862.70000000
2024-03-30,6.67600000,7.20000000,6.30000000,6.41800000,25311214.20000000
2024-03-31,6.42100000,6.90000000,6.37300000,6.53200000,21514308.80000000
2024-04-01,6.53100000,6.75000000,5.46600000,5.72000000,38862781.20000000
2024-04-02,5.72000000,6.11700000,5.13900000,5.43300000,38541958.30000000
2024-04-03,5.43400000,5.81600000,4.92700000,5.07800000,33346884.70000000
2024-04-04,5.07800000,5.51000000,4.76500000,5.25200000,28652424.20000000
2024-04-05,5.25300000,5.49800000,4.82600000,5.38500000,24066698.20000000
2024-04-06,5.38600000,5.70000000,5.16800000,5.43100000,21612768.10000000
2024-04-07,5.43100000,5.88000000,5.34600000,5.72600000,19411265.30000000
2024-04-08,5.72700000,6.59500000,5.53900000,6.40100000,24268277.40000000
2024-04-09,6.40100000,6.73000000,5.45000000,5.53300000,30754162.10000000
2024-04-10,5.53200000,6.10200000,5.22900000,5.73900000,28595126.00000000
2024-04-11,5.74100000,5.74200000,5.18200000,5.22100000,16753156.20000000
2024-04-12,5.22100000,5.40700000,3.70000000,4.35600000,30600243.80000000
2024-04-13,4.35700000,4.66800000,3.24000000,4.07800000,32378713.00000000
2024-04-14,4.07800000,4.29000000,3.63700000,4.22600000,25784224.20000000
2024-04-15,4.22500000,4.37400000,3.68200000,3.86800000,21085864.80000000
2024-04-16,3.86800000,3.99300000,3.58900000,3.81900000,18439128.80000000
