date,open,high,low,close,volume
2024-02-20,0.20000000,7.71000000,0.20000000,1.96500000,194055514.31000000
2024-02-21,1.96500000,2.18900000,1.67300000,1.89200000,188378887.49000000
2024-02-22,1.89200000,2.04300000,1.80200000,1.93000000,102619065.23000000
2024-02-23,1.92900000,2.17800000,1.84900000,1.92700000,122304826.77000000
2024-02-24,1.92700000,1.96500000,1.86000000,1.89500000,36500144.61000000
2024-02-25,1.89500000,1.95700000,1.87600000,1.94800000,30751708.31000000
2024-02-26,1.94800000,2.01400000,1.85800000,1.97100000,50584453.76000000
2024-02-27,1.97100000,2.06300000,1.87100000,1.91300000,64541173.39000000
2024-02-28,1.91300000,1.97500000,1.67500000,1.83900000,72470624.68000000
2024-02-29,1.83900000,1.91900000,1.70000000,1.74700000,53330216.45000000
2024-03-01,1.74800000,1.84300000,1.74700000,1.81600000,36189920.14000000
2024-03-02,1.81600000,1.85000000,1.79000000,1.84200000,29897302.96000000
2024-03-03,1.84200000,1.94000000,1.70700000,1.84300000,50953441.98000000
2024-03-04,1.84400000,1.87400000,1.74100000,1.79500000,43415480.26000000
2024-03-05,1.79500000,2.35800000,1.74300000,2.25200000,244567758.35000000
2024-03-06,2.25200000,2.56600000,2.18000000,2.54800000,154395955.47000000
2024-03-07,2.54800000,2.57900000,2.30700000,2.42300000,60781330.14000000
2024-03-08,2.42300000,2.48800000,2.18000000,2.29300000,66477607.65000000
2024-03-09,2.29300000,2.50000000,2.26700000,2.41000000,69172349.77000000
2024-03-10,2.40900000,2.52700000,2.30000000,2.42600000,61896978.64000000
2024-03-11,2.42700000,2.59700000,2.30000000,2.59100000,88292300.53000000
2024-03-12,2.59100000,2.67300000,2.30000000,2.48000000,68570102.66000000
2024-03-13,2.48100000,2.67000000,2.36600000,2.62900000,70082046.39000000
2024-03-14,2.62900000,2.65400000,2.25200000,2.38900000,74923259.39000000
2024-03-15,2.38900000,2.42500000,2.00200000,2.19700000,74761654.30000000
2024-03-16,2.19700000,2.26000000,1.98400000,2.03900000,52799169.69000000
2024-03-17,2.03900000,2.14600000,1.91600000,2.11600000,41273862.49000000
2024-03-18,2.11600000,2.12100000,1.90600000,1.93500000,38850176.61000000
2024-03-19,1.93600000,2.08200000,1.75000000,1.91600000,73394777.74000000
2024-03-20,1.91600000,2.15300000,1.85900000,2.13700000,48955798.31000000
2024-03-21,2.13600000,2.18300000,2.05000000,2.08900000,29142854.03000000
2024-03-22,2.08800000,2.16900000,1.97300000,2.03600000,28199662.78000000
2024-03-23,2.03500000,2.11900000,1.99800000,2.07000000,15884697.26000000
2024-03-24,2.06900000,2.19400000,2.03400000,2.18800000,20020134.76000000
2024-03-25,2.18800000,2.33000000,2.13000000,2.28100000,30329453.35000000
2024-03-26,2.28100000,2.39700000,2.21400000,2.30600000,27836440.42000000
2024-03-27,2.30600000,2.40400000,2.19200000,2.23600000,32472762.71000000
2024-03-28,2.23500000,2.36900000,2.20700000,2.27700000,25599858.38000000
2024-03-29,2.27800000,2.28400000,2.14500000,2.18100000,20192065.73000000
2024-03-30,2.18100000,2.20100000,2.10000000,2.13500000,17021034.19000000
2024-03-31,2.13500000,2.19100000,2.12100000,2.17900000,12247024.96000000
2024-04-01,2.17900000,2.18400000,1.97100000,2.04000000,27638819.60000000
2024-04-02,2.04000000,2.04600000,1.87600000,1.91700000,28583658.77000000
2024-04-03,1.91700000,1.97000000,1.85000000,1.89400000,20359657.45000000
2024-04-04,1.89300000,1.98600000,1.84100000,1.92300000,18739573.58000000
2024-04-05,1.92300000,1.92800000,1.80200000,1.88600000,17605890.47000000
2024-04-06,1.88600000,1.95500000,1.87800000,1.93100000,7884420.78000000
2024-04-07,1.93100000,1.97600000,1.91700000,1.97500000,10978673.68000000
2024-04-08,1.97500000,2.07900000,1.92000000,2.05400000,20586427.84000000
2024-04-09,2.05500000,2.06900000,1.86600000,1.87800000,26365061.73000000
2024-04-10,1.87700000,1.89600000,1.77000000,1.86100000,26536810.82000000
2024-04-11,1.86200000,1.91900000,1.81500000,1.82600000,16514611.37000000
2024-04-12,1.82600000,1.85700000,1.30500000,1.52100000,48351220.16000000
2024-04-13,1.52200000,1.52200000,1.12200000,1.42200000,75324524.43000000
2024-04-14,1.42100000,1.51000000,1.33900000,1.48500000,45412060.33000000
2024-04-15,1.48400000,1.51100000,1.28300000,1.34600000,51616603.75000000
2024-04-16,1.34600000,1.35700000,1.22700000,1.27200000,33827722.14000000
2024-04-17,1.27300000,1.30600000,1.18300000,1.23100000,26196823.86000000
2024-04-18,1.23000000,1.27100000,1.18900000,1.25100000,14171490.71000000
2024-04-19,1.25100000,1.27500000,1.14800000,1.20700000,21127063.62000000
2024-04-20,1.20700000,1.35200000,1.18500000,1.35200000,17969512.27000000
2024-04-21,1.35200000,1.37300000,1.28700000,1.31200000,14268905.98000000
2024-04-22,1.31300000,1.37500000,1.30600000,1.33700000,15631148.60000000
2024-04-23,1.33700000,1.35300000,1.29000000,1.31600000,13754804.08000000
2024-04-24,1.31700000,1.39700000,1.19000000,1.20200000,22474815.84000000
2024-04-25,1.20200000,1.22100000,1.13800000,1.19300000,29979428.56000000
2024-04-26,1.19300000,1.20600000,1.15000000,1.16200000,19623621.27000000
2024-04-27,1.16200000,1.26800000,1.10000000,1.25600000,27783097.05000000
2024-04-28,1.25600000,1.33700000,1.25300000,1.26000000,27116329.35000000
2024-04-29,1.26000000,1.28400000,1.17200000,1.21300000,27144863.43000000
2024-04-30,1.21300000,1.24000000,1.10600000,1.22600000,30199812.89000000
2024-05-01,1.22500000,1.29200000,1.15000000,1.27200000,51699164.62000000
2024-05-02,1.27200000,1.33400000,1.20900000,1.28000000,20820254.45000000
2024-05-03,1.28100000,1.36900000,1.27200000,1.35800000,17732396.02000000
2024-05-04,1.35900000,1.39100000,1.33700000,1.34500000,11513380.95000000
2024-05-05,1.34600000,1.37200000,1.30800000,1.36400000,12107283.44000000
2024-05-06,1.36400000,1.42900000,1.30500000,1.31600000,23867052.69000000
2024-05-07,1.31700000,1.32800000,1.23100000,1.23400000,18265827.25000000
2024-05-08,1.23300000,1.28500000,1.21000000,1.23200000,13751271.08000000
2024-05-09,1.23200000,1.27600000,1.21100000,1.26300000,10247209.16000000
2024-05-10,1.26300000,1.28800000,1.19000000,1.20600000,11471160.00000000
2024-05-11,1.20600000,1.24700000,1.19600000,1.22200000,6932805.93000000
2024-05-12,1.22200000,1.23200000,1.19300000,1.19800000,5422661.90000000
2024-05-13,1.19800000,1.21800000,1.12300000,1.18100000,13240968.52000000
2024-05-14,1.18100000,1.18900000,1.13400000,1.15200000,17420175.15000000
2024-05-15,1.15200000,1.19000000,1.12800000,1.18800000,23352518.00000000
2024-05-16,1.18800000,1.19800000,1.07200000,1.10400000,28798170.06000000
2024-05-17,1.10400000,1.17500000,1.08400000,1.15300000,20519859.76000000
2024-05-18,1.15400000,1.17600000,1.12600000,1.15400000,14555500.48000000
2024-05-19,1.15500000,1.16400000,1.03900000,1.05600000,20767828.68000000
2024-05-20,1.05600000,1.21900000,1.02000000,1.20900000,39924226.60000000
2024-05-21,1.20900000,1.28100000,1.18800000,1.26000000,42899665.01000000
2024-05-22,1.25900000,1.27900000,1.17500000,1.21300000,30312976.60000000
2024-05-23,1.21300000,1.29200000,1.15000000,1.23300000,50240207.16000000
2024-05-24,1.23300000,1.29200000,1.18800000,1.21900000,26841749.55000000
2024-05-25,1.21900000,1.28200000,1.20500000,1.25000000,16597424.75000000
2024-05-26,1.25100000,1.28500000,1.23000000,1.25700000,19083187.90000000
2024-05-27,1.25800000,1.33400000,1.25200000,1.31100000,27085665.34000000
2024-05-28,1.31100000,1.31100000,1.21900000,1.24800000,26795851.06000000
2024-05-29,1.24900000,1.27000000,1.20100000,1.21500000,22109712.57000000
2024-05-30,1.21600000,1.23600000,1.17200000,1.18600000,20002922.89000000
2024-05-31,1.18700000,1.20700000,1.15600000,1.17600000,16516463.98000000
2024-06-01,1.17700000,1.18300000,1.15700000,1.17200000,9227756.15000000
2024-06-02,1.17200000,1.24500000,1.17100000,1.21900000,23966476.63000000
2024-06-03,1.21900000,1.25400000,1.19100000,1.20000000,18413778.75000000
2024-06-04,1.20100000,1.36900000,1.19100000,1.29300000,57776412.93000000
