epoch,project_name,project_address,n_donors,allocated_eth,matched_eth,total_eth,leverage,avg_donation_eth
1,Protocol Guild,0xF6CBDd6Ea6EC3C4359e33de0Ac823701Cc56C6c4,230,0.957816,42.561373,43.519189,44.436,0.004164
1,Rotki,0x9531C059098e3d194fF87FebB587aB07B30B1306,198,0.746467,33.169918,33.916385,44.436,0.00377
1,Hypercerts,0x2DCDF80f439843D7E0aD1fEF9E7a439B7917eAc9,195,0.610091,27.109903,27.719994,44.436,0.003129
1,Tor Project,0x15c941a44a343B8c46a28F2BB9aFc7a54E255A4f,195,0.576487,25.616715,26.193202,44.436,0.002956
1,Giveth,0x6e8873085530406995170Da467010565968C7C62,178,0.304401,13.526313,13.830714,44.436,0.00171
1,Drips,0xcC7d34C76A9d08aa0109F7Bae35f29C1CE35355A,77,0.291811,12.966852,13.258663,44.436,0.00379
1,OnionDAO,0x20a1B17087482de88Fac6D7B5aE23A7175fd1395,134,0.228886,10.170739,10.399625,44.436,0.001708
1,Gitcoin,0xde21F729137C5Af1b01d73aF1dC21eFfa2B8a0d6,234,0.17997,7.997127,8.177097,44.436,0.000769
1,Ethereum Cat Herders,0x02Cb3C150BEdca124d0aE8CcCb72fefbe705c953,139,0.176972,7.863904,8.040876,44.436,0.001273
1,DAO Drops,0x1c01595f9534E33d411035AE99a4317faeC4f6Fe,143,0.163813,7.279175,7.442988,44.436,0.001146
1,Kernel,0x7DAC9Fc15C1Db4379D75A6E3f330aE849dFfcE18,111,0.152104,6.758885,6.910989,44.436,0.00137
1,EthStaker,0xD165df4296C85e780509fa1eace0150d945d49Fd,90,0.150159,6.672439,6.822598,44.436,0.001668
1,BrightID,0x78e084445C3F1006617e1f36794dd2261ecE4AE3,51,0.143545,6.378548,6.522093,44.436,0.002815
1,Clr.fund,0xAb6D6a37c5110d1377832c451C33e4fA16A9BA05,74,0.142217,6.319545,6.461762,44.436,0.001922
1,MetaGame,0x3455FbB4D34C6b47999B66c83aA7BD8FDDade638,45,0.139975,6.219915,6.35989,44.436,0.003111
1,PublicHAUS,0x4A9a27d614a74Ee5524909cA27bdBcBB7eD3b315,28,0.139762,6.210434,6.350196,44.436,0.004992
1,Pairwise,0xd1B8dB70Ded72dB850713b2ce7e1A4FfAfAD95d1,37,0.133205,5.919078,6.052283,44.436,0.0036
1,Praise,0x0B7246eF74Ca7b37Fdc3D15be4f0b49876622F95,45,0.131316,5.835157,5.966473,44.436,0.002918
1,Glo Dollar,0x8c89a6bf53cCF63e7B4465Cc1b1330723B4BdcB7,37,0.126894,5.638639,5.765533,44.436,0.00343
2,Protocol Guild,0xF6CBDd6Ea6EC3C4359e33de0Ac823701Cc56C6c4,199,0.615864,35.936142,36.552006,58.351,0.003095
2,Drips,0xcC7d34C76A9d08aa0109F7Bae35f29C1CE35355A,142,0.360306,21.024164,21.38447,58.351,0.002537
2,EthStaker,0xD165df4296C85e780509fa1eace0150d945d49Fd,157,0.309104,18.036484,18.345588,58.351,0.001969
2,Hypercerts,0x2DCDF80f439843D7E0aD1fEF9E7a439B7917eAc9,179,0.275991,16.104322,16.380313,58.351,0.001542
2,L2BEAT,0x0cbF31Ef6545EE30f47651D1A991Bf0aeB03DF29,179,0.271366,15.834421,16.105787,58.351,0.001516
2,Revoke.cash,0xe126b3E5d052f1F575828f61fEBA4f4f2603652a,119,0.257954,15.051837,15.309791,58.351,0.002168
2,Open Source Observer,0x87fEEd6162CB7dFe6B62F64366742349bF4D1B05,44,0.218396,12.743558,12.961954,58.351,0.004964
2,Funding the Commons,0x576edCed7475D8F64a5e2D5227c93Ca57d7f5d20,87,0.204643,11.941056,12.145699,58.351,0.002352
2,MetaGame,0x3455FbB4D34C6b47999B66c83aA7BD8FDDade638,47,0.19191,11.198116,11.390026,58.351,0.004083
2,Rotki,0x9531C059098e3d194fF87FebB587aB07B30B1306,70,0.186422,10.877848,11.06427,58.351,0.002663
2,Giveth,0x6e8873085530406995170Da467010565968C7C62,97,0.172367,10.057767,10.230134,58.351,0.001777
2,Tor Project,0x15c941a44a343B8c46a28F2BB9aFc7a54E255A4f,63,0.150782,8.798257,8.949039,58.351,0.002393
2,Pairwise,0xd1B8dB70Ded72dB850713b2ce7e1A4FfAfAD95d1,44,0.134621,7.855242,7.989863,58.351,0.00306
2,Ethereum Cat Herders,0x02Cb3C150BEdca124d0aE8CcCb72fefbe705c953,31,0.104299,6.085952,6.190251,58.351,0.003364
2,Gitcoin,0xde21F729137C5Af1b01d73aF1dC21eFfa2B8a0d6,93,0.095125,5.550623,5.645748,58.351,0.001023
2,Praise,0x0B7246eF74Ca7b37Fdc3D15be4f0b49876622F95,47,0.091564,5.342854,5.434418,58.351,0.001948
2,Shielded Voting,0xB476Ee7D610DAe7B23B671EBC7Bd6112E9772969,36,0.087635,5.113589,5.201224,58.351,0.002434
2,Glo Dollar,0x8c89a6bf53cCF63e7B4465Cc1b1330723B4BdcB7,40,0.084505,4.930936,5.015441,58.351,0.002113
2,DAO Drops,0x1c01595f9534E33d411035AE99a4317faeC4f6Fe,62,0.08292,4.838433,4.921353,58.351,0.001337
3,Protocol Guild,0xF6CBDd6Ea6EC3C4359e33de0Ac823701Cc56C6c4,153,5.045719,72.319853,77.365572,14.333,0.032979
3,GrowThePie,0x9438b8B447179740cD97869997a2FCc9b4AA63a2,20,3.405249,48.807133,52.212382,14.333,0.170262
3,NiceNode,0x9cce47E9cF12C6147c9844adBB81fE85880c4df4,20,3.399624,48.726515,52.126139,14.333,0.169981
3,Shielded Voting,0xB476Ee7D610DAe7B23B671EBC7Bd6112E9772969,28,3.389517,48.581658,51.971175,14.333,0.121054
3,Web3.js,0x4C6fd545fc18C6538eC304Ae549717CA58f0D6eb,129,2.12559,30.465893,32.591483,14.333,0.016477
3,Web3.py,0x5597cD8d55D2Db56b10FF4F8fe69C8922BF6C537,140,2.109128,30.229947,32.339075,14.333,0.015065
3,Hypercerts,0x2DCDF80f439843D7E0aD1fEF9E7a439B7917eAc9,150,1.809459,25.934812,27.744271,14.333,0.012063
3,Rotki,0x9531C059098e3d194fF87FebB587aB07B30B1306,152,1.288427,18.466909,19.755336,14.333,0.008476
3,Giveth,0x6e8873085530406995170Da467010565968C7C62,178,0.867946,12.440188,13.308134,14.333,0.004876
3,Tor Project,0x15c941a44a343B8c46a28F2BB9aFc7a54E255A4f,164,0.390881,0.0,0.390881,0.0,0.002383
3,Open Source Observer,0x87fEEd6162CB7dFe6B62F64366742349bF4D1B05,106,0.279014,0.0,0.279014,0.0,0.002632
3,Gitcoin,0xde21F729137C5Af1b01d73aF1dC21eFfa2B8a0d6,58,0.210925,0.0,0.210925,0.0,0.003637
3,Glo Dollar,0x8c89a6bf53cCF63e7B4465Cc1b1330723B4BdcB7,40,0.147044,0.0,0.147044,0.0,0.003676
3,L2BEAT,0x0cbF31Ef6545EE30f47651D1A991Bf0aeB03DF29,132,0.139598,0.0,0.139598,0.0,0.001058
3,Boring Security,0x52C45Bab6d0827F44a973899666D9Cd18Fd90bCF,17,0.133728,0.0,0.133728,0.0,0.007866
3,MetaGame,0x3455FbB4D34C6b47999B66c83aA7BD8FDDade638,32,0.127371,0.0,0.127371,0.0,0.00398
3,Funding the Commons,0x576edCed7475D8F64a5e2D5227c93Ca57d7f5d20,47,0.105971,0.0,0.105971,0.0,0.002255
3,Drips,0xcC7d34C76A9d08aa0109F7Bae35f29C1CE35355A,52,0.105526,0.0,0.105526,0.0,0.002029
3,Revoke.cash,0xe126b3E5d052f1F575828f61fEBA4f4f2603652a,140,0.100842,0.0,0.100842,0.0,0.00072
3,Ethereum Attestation Service,0xBCA48834b3653ec795411EB0FCBE4038F8527d62,47,0.095506,0.0,0.095506,0.0,0.002032
3,Ethereum Cat Herders,0x02Cb3C150BEdca124d0aE8CcCb72fefbe705c953,38,0.094688,0.0,0.094688,0.0,0.002492
3,EthStaker,0xF01CEe26213d1A6eaF16422241AE81f7C17B9f98,35,0.063455,0.0,0.063455,0.0,0.001813
3,ReFi DAO,0x7340F1a1e4e38F43d2FCC85cdb2b764de36B40c0,17,0.014402,0.0,0.014402,0.0,0.000847
3,Praise,0x0B7246eF74Ca7b37Fdc3D15be4f0b49876622F95,58,0.009072,0.0,0.009072,0.0,0.000156
3,DAO Drops,0x1c01595f9534E33d411035AE99a4317faeC4f6Fe,27,0.008029,0.0,0.008029,0.0,0.000297
3,Pairwise,0xd1B8dB70Ded72dB850713b2ce7e1A4FfAfAD95d1,32,0.007581,0.0,0.007581,0.0,0.000237
3,MetaGov,0x9be7267002CAD0b8501f7322d50612CB13788Bcf,22,0.00557,0.0,0.00557,0.0,0.000253
3,StateOfEth,0x0194325BF525Be0D4fBB0856894cEd74Da3B8356,12,0.002432,0.0,0.002432,0.0,0.000203
3,ETH Daily,0xEB40A065854bd90126A4E697aeA0976BA51b2eE7,12,0.001264,0.0,0.001264,0.0,0.000105
3,Gardens,0x809C9f8dd8CA93A41c3adca4972Fa234C28F7714,11,0.000534,0.0,0.000534,0.0,4.9e-05
4,Protocol Guild,0x3250c2CEE20FA34D1c4F68eAA87E53512e95A62a,120,0.57788,48.229339,48.807219,83.459,0.004816
4,Tor Project,0x15c941a44a343B8c46a28F2BB9aFc7a54E255A4f,139,0.490566,44.94597,45.436536,91.621,0.003529
4,Revoke.cash,0xe126b3E5d052f1F575828f61fEBA4f4f2603652a,141,0.202251,24.537981,24.740232,121.324,0.001434
4,Web3.py,0x5597cD8d55D2Db56b10FF4F8fe69C8922BF6C537,109,0.230561,20.531027,20.761588,89.048,0.002115
4,Open Source Observer,0x87fEEd6162CB7dFe6B62F64366742349bF4D1B05,54,0.466453,18.265633,18.732086,39.159,0.008638
4,L2BEAT,0x0cbF31Ef6545EE30f47651D1A991Bf0aeB03DF29,74,0.311179,15.810273,16.121452,50.808,0.004205
4,Praise,0x0B7246eF74Ca7b37Fdc3D15be4f0b49876622F95,110,0.305982,15.7847,16.090682,51.587,0.002782
4,Pairwise,0xd1B8dB70Ded72dB850713b2ce7e1A4FfAfAD95d1,85,0.312833,14.063988,14.376821,44.957,0.00368
4,Hypercerts,0x2DCDF80f439843D7E0aD1fEF9E7a439B7917eAc9,73,0.205326,12.876263,13.081589,62.711,0.002813
4,Rotki,0x9531C059098e3d194fF87FebB587aB07B30B1306,76,0.191524,11.269891,11.461415,58.843,0.00252
4,EthStaker,0xF01CEe26213d1A6eaF16422241AE81f7C17B9f98,52,0.188981,10.259473,10.448454,54.288,0.003634
4,Web3.js,0x4C6fd545fc18C6538eC304Ae549717CA58f0D6eb,52,0.179323,9.463941,9.643264,52.776,0.003449
4,Funding the Commons,0x576edCed7475D8F64a5e2D5227c93Ca57d7f5d20,59,0.189,9.341912,9.530912,49.428,0.003203
4,Ethereum Attestation Service,0xBCA48834b3653ec795411EB0FCBE4038F8527d62,50,0.180528,9.345537,9.526065,51.768,0.003611
4,Ethereum Cat Herders,0x02Cb3C150BEdca124d0aE8CcCb72fefbe705c953,44,0.174991,8.138898,8.313889,46.51,0.003977
4,BuidlGuidl,0x00080706a7D99CBC163D52dcF435205B1aD940D1,46,0.104812,5.021751,5.126563,47.912,0.002279
4,PizzaDAO,0xF41a98D4F2E52aa1ccB48F0b6539e955707b8F7a,45,0.088878,4.818033,4.906911,54.21,0.001975
4,Dappnode,0x53390590476dC98860316e4B46Bb9842AF55efc4,50,0.045904,3.947418,3.993322,85.993,0.000918
4,Shielded Voting,0xB476Ee7D610DAe7B23B671EBC7Bd6112E9772969,31,0.055071,2.625516,2.680587,47.675,0.001776
4,DAO Drops,0x1c01595f9534E33d411035AE99a4317faeC4f6Fe,30,0.058153,1.562716,1.620869,26.872,0.001938
4,Gardens,0x809C9f8dd8CA93A41c3adca4972Fa234C28F7714,30,0.032714,1.438674,1.471388,43.977,0.00109
4,Vyper,0x0c9dc7622aE5f56491aB4cCe060d6002450B79D2,19,0.05714,1.216518,1.273658,21.29,0.003007
4,growthepie,0x9438b8B447179740cD97869997a2FCc9b4AA63a2,29,0.017358,1.131753,1.149111,65.201,0.000599
4,NiceNode,0x9cce47E9cF12C6147c9844adBB81fE85880c4df4,23,0.027643,0.658863,0.686506,23.835,0.001202
4,Abundance Protocol,0xc6FD734790E83820e311211B6d9A682BCa4ac97b,13,0.024325,0.604007,0.628332,24.831,0.001871
4,DeSci LATAM,0x7Dd488f03E0A043b550E82D3C2685aA83B96407C,14,0.02729,0.470447,0.497737,17.239,0.001949
4,Trustful,0xf7253A0E87E39d2cD6365919D4a3D56D431D0041,12,0.026368,0.433005,0.459373,16.422,0.002197
4,Blockscout,0x242ba6d68FfEb4a098B591B32d370F973FF882B7,28,0.005535,0.388876,0.394411,70.258,0.000198
4,EcosynthesisX,0x7380A42137D16a0E7684578d8b3d32e1fbD021B5,19,0.004834,0.24991,0.254744,51.698,0.000254
4,TogetherCrew,0x6612213880f80b298aB66375789E8Ef15e98604E,15,0.004114,0.141288,0.145402,34.343,0.000274
5,Protocol Guild,0x3250c2CEE20FA34D1c4F68eAA87E53512e95A62a,96,0.801928,32.055756,32.857684,39.973,0.008353
5,Rotki,0x9531C059098e3d194fF87FebB587aB07B30B1306,66,2.269429,26.639604,28.909033,11.738,0.034385
5,Ethereum Attestation Service,0xBCA48834b3653ec795411EB0FCBE4038F8527d62,93,2.121769,22.801105,24.922874,10.746,0.022815
5,Revoke.cash,0xfcBf17200C64E860F6639aa12B525015d115F863,95,2.089517,20.203398,22.292915,9.669,0.021995
5,Tor Project,0x15c941a44a343B8c46a28F2BB9aFc7a54E255A4f,89,0.555438,19.365174,19.920612,34.865,0.006241
5,Greenpill Dev Guild,0x992A3a242D6471d24783b4C2C6AF3EC7df871761,76,0.526188,16.847868,17.374056,32.019,0.006924
5,Ethereum Cat Herders,0x02Cb3C150BEdca124d0aE8CcCb72fefbe705c953,53,2.068688,13.663382,15.73207,6.605,0.039032
5,L2BEAT,0x0cbF31Ef6545EE30f47651D1A991Bf0aeB03DF29,73,0.592577,15.048158,15.640735,25.394,0.008117
5,Aestus MEV Relay,0xa095Ee27B11FCAac8e1be84891ab62C74F08C854,38,2.108354,12.991611,15.099965,6.162,0.055483
5,Hypercerts,0x2DCDF80f439843D7E0aD1fEF9E7a439B7917eAc9,82,0.476056,12.21467,12.690726,25.658,0.005806
5,Open Source Observer,0x87fEEd6162CB7dFe6B62F64366742349bF4D1B05,54,0.537565,11.698319,12.235884,21.762,0.009955
5,Funding the Commons,0x576edCed7475D8F64a5e2D5227c93Ca57d7f5d20,75,0.230212,9.679737,9.909949,42.047,0.003069
5,B<>rder/ess Developers,0xFC1436689F68079Fc17A931666b7947789229ed8,87,0.245503,9.164389,9.409892,37.329,0.002822
5,LottoPGF,0xe7d4Ac3c77cF3683E0d15C15eaba7CDB8c092D98,94,0.230126,8.842024,9.07215,38.423,0.002448
5,Doots Podcast,0x09A38B6187a2c44B6ba71c277c50764B5878b824,44,0.409041,7.862138,8.271179,19.221,0.009296
5,Praise,0x0B7246eF74Ca7b37Fdc3D15be4f0b49876622F95,52,0.268153,7.36327,7.631423,27.459,0.005157
5,BuidlGuidl,0x00080706a7D99CBC163D52dcF435205B1aD940D1,71,0.316502,7.301087,7.617589,23.068,0.004458
5,Pairwise,0xd1B8dB70Ded72dB850713b2ce7e1A4FfAfAD95d1,46,0.275869,7.010898,7.286767,25.414,0.005997
5,Web3.js,0x4C6fd545fc18C6538eC304Ae549717CA58f0D6eb,50,0.338374,6.135794,6.474168,18.133,0.006767
5,PizzaDAO,0xF41a98D4F2E52aa1ccB48F0b6539e955707b8F7a,80,0.183198,6.176,6.359198,33.712,0.00229
5,EthStaker,0xa83a92297B3d80A70cC396bf74424971A9890704,62,0.134357,5.568326,5.702683,41.444,0.002167
5,Dappnode,0x53390590476dC98860316e4B46Bb9842AF55efc4,71,0.099422,5.568274,5.667696,56.006,0.0014
5,Web3.py,0x5597cD8d55D2Db56b10FF4F8fe69C8922BF6C537,41,0.266657,5.194047,5.460704,19.478,0.006504
5,Regens Unite,0x08e40e1C0681D072a54Fc5868752c02bb3996FFA,67,0.075481,4.174798,4.250279,55.309,0.001127
5,EcoSynthesisX,0x7380A42137D16a0E7684578d8b3d32e1fbD021B5,36,0.244253,2.83749,3.081743,11.617,0.006785
5,MetaGov,0x9be7267002CAD0b8501f7322d50612CB13788Bcf,59,0.04198,2.446272,2.488252,58.272,0.000712
5,DeSci LATAM,0x7Dd488f03E0A043b550E82D3C2685aA83B96407C,59,0.016773,1.968015,1.984788,117.332,0.000284
5,Kiwi News,0x1337E2624ffEC537087c6774e9A18031CFEAf0a9,44,0.019586,1.749661,1.769247,89.332,0.000445
5,Gravity DAO,0xfFbD35255008F86322051F2313D4b343540e0e00,42,0.026755,1.246127,1.272882,46.575,0.000637
5,Gardens,0x809C9f8dd8CA93A41c3adca4972Fa234C28F7714,45,0.06045,1.160335,1.220785,19.195,0.001343
6,L2BEAT,0x0cbF31Ef6545EE30f47651D1A991Bf0aeB03DF29,71,2.396098,34.690256,37.086354,14.478,0.033748
6,Protocol Guild,0x3250c2CEE20FA34D1c4F68eAA87E53512e95A62a,94,0.661871,31.912971,32.574842,48.216,0.007041
6,Revoke.cash,0xfcBf17200C64E860F6639aa12B525015d115F863,87,2.111007,27.102188,29.213195,12.839,0.024264
6,Ethereum Attestation Service,0xBCA48834b3653ec795411EB0FCBE4038F8527d62,79,2.121607,26.635478,28.757085,12.554,0.026856
6,Ethereum Cat Herders,0x8D3AcA27963D5BAD978d3e953D3F3680cEa3FAeC,53,1.988133,17.236569,19.224702,8.67,0.037512
6,Tor Project,0x15c941a44a343B8c46a28F2BB9aFc7a54E255A4f,83,0.429487,17.813643,18.24313,41.477,0.005175
6,Funding the Commons,0x576edCed7475D8F64a5e2D5227c93Ca57d7f5d20,90,0.423001,15.284533,15.707534,36.134,0.0047
6,Open Source Observer,0x87fEEd6162CB7dFe6B62F64366742349bF4D1B05,57,0.647324,12.894191,13.541515,19.919,0.011357
6,Aestus MEV Relay,0xa095Ee27B11FCAac8e1be84891ab62C74F08C854,39,1.858442,10.144436,12.002878,5.459,0.047652
6,PizzaDAO,0xF41a98D4F2E52aa1ccB48F0b6539e955707b8F7a,85,0.249757,9.174301,9.424058,36.733,0.002938
6,Rotki,0x9531C059098e3d194fF87FebB587aB07B30B1306,75,0.220202,8.442997,8.663199,38.342,0.002936
6,Dappnode,0x53390590476dC98860316e4B46Bb9842AF55efc4,89,0.104693,7.659546,7.764239,73.162,0.001176
6,GrowThePie,0x9438b8B447179740cD97869997a2FCc9b4AA63a2,63,0.271331,4.710785,4.982116,17.362,0.004307
6,TogetherCrew,0xaaBC0D621F375Ec70fB0e83CdC6FE60281697854,81,0.035201,4.585763,4.620964,130.274,0.000435
6,B<>rder/ess Developers,0xFC1436689F68079Fc17A931666b7947789229ed8,84,0.034753,4.535561,4.570314,130.508,0.000414
6,ReFiDAO,0x7340F1a1e4e38F43d2FCC85cdb2b764de36B40c0,74,0.044018,3.984027,4.028045,90.509,0.000595
6,Regens Unite,0x08e40e1C0681D072a54Fc5868752c02bb3996FFA,69,0.046381,3.82378,3.870161,82.443,0.000672
6,Vocdoni,0x74D8967e812de34702eCD3D453a44bf37440b10b,55,0.052868,3.462797,3.515665,65.499,0.000961
6,Alfred By Atlantis,0x2B76AbD0889620597d6A52fccc4865d04004eAa7,59,0.120194,3.236764,3.356958,26.929,0.002037
6,EthStaker,0xa83a92297B3d80A70cC396bf74424971A9890704,61,0.120893,3.2274,3.348293,26.696,0.001982
6,FlowState,0xB3f2b4a0b5F2f99e6B6bfc71D5E18a59B92D5606,62,0.038377,2.999764,3.038141,78.166,0.000619
6,Kiwi News,0x1337E2624ffEC537087c6774e9A18031CFEAf0a9,60,0.033559,2.876613,2.910172,85.718,0.000559
6,Bankless Academy,0xe1887fF140BfA9D3b45D0B2077b7471124acD242,52,0.053155,2.734433,2.787588,51.443,0.001022
6,BuidlGuidl,0x00080706a7D99CBC163D52dcF435205B1aD940D1,79,0.030008,2.72509,2.755098,90.812,0.00038
6,Kernel,0x7DAC9Fc15C1Db4379D75A6E3f330aE849dFfcE18,58,0.035997,2.714175,2.750172,75.4,0.000621
6,EVMavericks Doots Podcast,0x09A38B6187a2c44B6ba71c277c50764B5878b824,51,0.035179,2.621022,2.656201,74.505,0.00069
6,Citizen Wallet,0xa39E7b901570120f6F963bccE8F5Ea4D883Cb2EE,54,0.062214,2.387981,2.450195,38.383,0.001152
6,Blockscout,0x242ba6d68FfEb4a098B591B32d370F973FF882B7,68,0.027029,1.726135,1.753164,63.862,0.000397
6,ZuCity Japan,0x004C1193262542ffF59e64fF29404DEAeb3F3dEC,46,0.040421,1.562791,1.603212,38.663,0.000879
6,WebHash,0x898b2500C4Fed262D7cc564dD892A34B33DA0a41,43,0.019767,0.979475,0.999242,49.551,0.00046
7,Blue Energy Reef Restoration,0x583A371055ff45AbEdF81d37Cc93E4de695D1364,151,0.842802,34.348449,35.191251,40.755,0.005581
