rank,project,project_index,total_weth,direct_weth,matched_weth,contributors
1,The Tor Project,0,10.196086,0.709291,9.486795,64
2,rotki,10,8.740673,0.554995,8.185678,58
3,L2BEAT,2,8.593897,0.671116,7.922781,62
4,SEAL 911,15,7.755835,0.441014,7.314822,60
5,Solidity,1,6.745783,0.498474,6.247309,48
6,growthepie,9,5.476473,0.170885,5.305588,65
7,Ethereum Economic Zone (EEZ),5,5.343344,0.655095,4.688249,41
8,Dappnode,3,4.751042,0.173688,4.577354,58
9,Funding the Commons,4,3.918112,0.247345,3.670767,53
10,Protocol Guild,19,3.431527,0.220094,3.211432,53
11,Greenpill Dev Guild,20,3.366663,0.40699,2.959672,42
12,Shutter Network,21,3.019989,0.241369,2.778621,44
13,Revoke.cash,24,3.002599,0.19632,2.806279,54
14,Hypercerts Foundation,6,2.271237,0.177147,2.094091,44
15,OSO,8,1.931028,0.165744,1.765285,35
16,SheFi,7,1.39681,0.056286,1.340525,42
17,Blue Filter,23,1.38128,0.182139,1.199141,29
18,Gili Eco Trust for waste solutions,11,1.201139,0.081798,1.119341,30
19,ZachXBT,22,1.053261,0.038394,1.014867,50
20,Ethereum Attestation Service,16,1.025683,0.042966,0.982717,44
21,ECH Institute,18,0.951865,0.053283,0.898582,38
22,Remix Project,17,0.781512,0.054869,0.726643,32
23,EthStaker,14,0.733744,0.032387,0.701357,41
24,Crypto Altruists,13,0.730002,0.042508,0.687494,32
25,Aestus,12,0.184743,0.01171,0.173033,28
