rank,name,category,n_epochs,n_addresses,total_allocated_eth,total_matched_eth,total_eth,avg_eth_per_epoch,epochs_list,name_variants
1,Protocol Guild,Ethereum Infrastructure,11,4,10.0386,316.6214,326.66,29.6964,"0,1,2,3,4,5,6,8,10,11,12",Protocol Guild
2,Gitcoin,Public Goods Funding,4,1,0.486,269.7562,270.2423,67.5606,"0,1,2,3",Gitcoin
3,Tor Project,Security & Privacy,8,1,3.7119,144.9987,148.7107,18.5888,"1,2,3,4,5,6,10,12",The Tor Project | Tor Project
4,L2BEAT,Research & Analytics,8,3,6.5424,129.6245,136.1669,17.0209,"2,3,4,5,6,8,10,12",L2BEAT
5,Giveth,Public Goods Funding,4,1,1.3447,132.6357,133.9804,33.4951,"0,1,2,3",Giveth
6,Rotki,Developer Tools,8,1,5.7239,126.2088,131.9327,16.4916,"1,2,3,4,5,6,10,12",Rotki | rotki
7,Revoke.cash,Security & Privacy,7,2,6.8257,112.0432,118.8689,16.9813,"2,3,4,5,6,10,12",Revoke.cash
8,Hypercerts,Public Goods Funding,7,2,3.7011,101.1411,104.8422,14.9775,"1,2,3,4,5,10,12",Hypercerts | Hypercerts Foundation
9,GrowThePie,Research & Analytics,6,1,4.2955,95.365,99.6606,16.6101,"3,4,6,8,10,12",GrowThePie | growthepie
10,EthStaker,Education & Onboarding,9,3,1.1864,94.452,95.6384,10.6265,"0,1,2,3,4,5,6,10,12",EthStaker
11,Ethereum Attestation Service,Ethereum Infrastructure,7,1,4.8041,75.0931,79.8971,11.4139,"3,4,5,6,8,10,12",Ethereum Attestation Service | Ethereum Attestation Service (EAS)
12,Open Source Observer,Research & Analytics,8,1,2.8229,75.9295,78.7524,9.844,"2,3,4,5,6,8,10,12",Open Source Observer
13,Solidity,Developer Tools,3,1,3.953,71.4429,75.3958,25.1319,"8,10,12",Solidity
14,Ethereum Cat Herders,Community & Coordination,7,2,4.6078,64.15,68.7578,9.8225,"0,1,2,3,4,5,6",Ethereum Cat Herders
15,Funding the Commons,Public Goods Funding,7,1,1.6696,58.5679,60.2375,8.6054,"2,3,4,5,6,10,12",Funding the Commons
16,Shielded Voting,Security & Privacy,3,1,3.5322,56.3208,59.853,19.951,"2,3,4",Shielded Voting
17,Web3.py,Developer Tools,3,1,2.6063,55.955,58.5614,19.5205,"3,4,5",Web3.py
18,Dappnode,Ethereum Infrastructure,6,2,0.7574,52.554,53.3114,8.8852,"4,5,6,8,10,12",Dappnode
19,NiceNode,Developer Tools,2,1,3.4273,49.3854,52.8126,26.4063,"3,4",NiceNode
20,ZachXBT,Research & Analytics,3,1,0.5708,49.4683,50.0391,16.6797,"9,10,12",ZachXBT
21,Web3.js,Developer Tools,3,1,2.6433,46.0656,48.7089,16.2363,"3,4,5",Web3.js
22,Aestus MEV Relay,Ethereum Infrastructure,5,1,5.9302,41.1835,47.1137,9.4227,"5,6,8,10,12",Aestus | Aestus MEV Relay
23,DAO Drops,Public Goods Funding,5,1,0.3129,45.2474,45.5603,9.1121,"0,1,2,3,4",DAO Drops
24,Kernel,Education & Onboarding,3,1,0.1881,44.4035,44.5916,14.8639,"0,1,6",Kernel
25,Drips,Public Goods Funding,4,1,0.7576,43.382,44.1397,11.0349,"0,1,2,3",Drips
26,Atlantis,Climate & Regenerative,2,2,0.8611,42.0378,42.8989,21.4494,"7,10",Atlantis
27,Blue Energy Reef Restoration,Climate & Regenerative,2,2,0.9324,37.7253,38.6577,19.3288,"7,10",Blue Energy Reef | Blue Energy Reef Restoration
28,Remix Project,Developer Tools,3,1,3.1304,35.2931,38.4235,12.8078,"8,10,12",Remix Project
29,Blue Filter,Climate & Regenerative,3,1,1.0633,36.3977,37.4611,12.487,"7,10,12",Blue Filter
30,Crypto Altruists,Media & Storytelling,3,2,0.5254,35.4439,35.9693,11.9898,"9,10,12",Crypto Altruists
31,Pairwise,Community & Coordination,5,1,0.8641,34.8492,35.7133,7.1427,"1,2,3,4,5",Pairwise
32,Praise,Community & Coordination,5,1,0.8061,34.326,35.1321,7.0264,"1,2,3,4,5",Praise
33,TORNADO: The War On Code A Documentary by The Rage,Media & Storytelling,1,1,0.3877,33.6314,34.0192,34.0192,9,TORNADO: The War On Code A Documentary by The Rage
34,SheFi,Education & Onboarding,3,1,0.2799,29.7393,30.0193,10.0064,"9,10,12",SheFi
35,Clr.fund,Public Goods Funding,2,1,0.1422,29.8689,30.0112,15.0056,"0,1",Clr.fund
36,GainForest,Climate & Regenerative,1,1,0.3451,28.6046,28.9497,28.9497,7,GainForest
37,Greenpill Dev Guild,Community & Coordination,3,2,1.0866,26.0666,27.1532,9.0511,"5,10,12",Greenpill Dev Guild
38,BuidlGuidl,Education & Onboarding,4,2,0.5972,25.9012,26.4984,6.6246,"4,5,6,8",BuidlGuidl
39,Open Collective,Public Goods Funding,1,1,0.3392,23.9014,24.2406,24.2406,7,Open Collective
40,PizzaDAO,Community & Coordination,3,1,0.5218,20.1683,20.6902,6.8967,"4,5,6",PizzaDAO
41,Astral Protocol,Climate & Regenerative,1,1,0.4305,20.0739,20.5044,20.5044,7,Astral Protocol
42,Ecovillage Network GEN Ukraine,Climate & Regenerative,1,1,0.2574,19.6165,19.8739,19.8739,7,Ecovillage Network GEN Ukraine
43,MetaGame,Community & Coordination,3,1,0.4593,17.418,17.8773,5.9591,"1,2,3",MetaGame
44,Vyper,Developer Tools,2,2,1.3006,15.2508,16.5513,8.2757,"4,8",Vyper
45,Shutter Network,Security & Privacy,3,1,0.4921,14.2766,14.7687,4.9229,"8,10,12",Shutter | Shutter Network
46,ECH Institute,Education & Onboarding,2,1,1.8388,12.7554,14.5942,7.2971,"10,12",ECH Institute
47,B<>rder/ess Developers,Education & Onboarding,2,1,0.2803,13.7,13.9802,6.9901,"5,6",B<>rder/ess Developers
